time,open,high,low,close,Volume
1627911000,62.259,65.9,61.50901,63.779,12550560
1627997400,63.462,63.462,60.513,62.506,8444240
1628083800,63.028,67.5,63.001,67.093,10014610
1628170200,64.35854,72.968,63.37038,71.562,11665390
1628256600,72.0,75.099,70.13,74.872,13120310
1628515800,79.63113,79.79999,76.27,76.773,14213490
1628602200,76.663,77.70151,74.418,75.049,7967180
1628688600,76.224,77.08799,74.011,74.749,7282940
1628775000,72.472,73.08,71.24001,72.099,7207110
1628861400,74.5,75.389,72.61,72.8,6573570
1629120600,74.0,74.1,69.221,69.751,6727850
1629207000,69.107,70.0,65.748,66.369,6615120
1629293400,65.912,67.8,65.268,65.505,5472690
1629379800,64.634,67.86,64.143,67.626,6727260
1629466200,68.617,72.79899,68.30101,71.656,9820610
1629725400,74.19,74.77799,71.006,71.851,8138490
1629811800,71.793,71.793,69.12201,71.55,8113500
1629898200,71.465,73.51,70.5,72.671,6648690
1629984600,71.2,71.45,69.155,69.366,5714500
1630071000,69.95,72.109,69.505,70.72,8108760
1630330200,70.259,70.832,69.397,70.299,5287620
1630416600,70.233,70.5,68.709,69.43,5307240
1630503000,70.0,71.69999,69.101,70.25,8252350
1630589400,72.289,73.26599,69.5,69.571,7360010
1630675800,71.61,72.8,70.35,71.226,7380230
1631021400,69.9,70.2,64.478,64.801,18091800
1631107800,64.81,65.894,63.063,63.862,8218440
1631194200,64.51,65.38207,63.238,64.062,6506990
1631280600,63.815,64.436,61.203,61.557,6829420
1631539800,60.9,64.273,60.03113,64.27,9330590
1631626200,64.5,65.10138,61.292,61.848,5726430
1631712600,62.8,64.23699,62.05112,63.3,5648500
1631799000,63.212,63.323,61.148,63.3,5106760
1631885400,63.3,63.45299,61.203,61.429,21566330
1632144600,57.442,59.30999,56.829,58.839,7755170
1632231000,58.887,59.422,57.6,58.102,4633140
1632317400,58.935,60.497,58.4797,59.961,3781060
1632403800,60.673,61.776,59.86661,61.657,3975870
1632490200,58.0,60.23299,57.5,59.939,4683390
1632749400,60.325,60.6,58.97301,59.475,2755580
1632835800,58.525,58.99999,57.158,57.351,3382430
1632922200,58.071,58.647,56.526,56.632,2928430
1633008600,58.212,59.735,57.44,57.84,3172000
1633095000,61.561,61.561,59.226,61.246,5111670
1633354200,61.148,61.363,58.279,60.725,4355210
1633440600,62.032,65.251,61.28001,65.101,4490270
1633527000,67.0,68.23899,65.0,67.381,7123120
1633613400,66.5,69.38352,66.368,69.279,5028590
1633699800,69.917,71.27899,69.049,70.882,6862420
1633959000,72.0,75.19924,71.825,73.18,5771430
1634045400,72.844,73.96228,70.19401,71.065,4133090
1634131800,71.0,72.741,70.349,72.63,2921190
1634218200,73.867,74.09161,71.854,72.395,2798690
1634304600,73.999,76.19799,73.4,74.985,7322730
1634563800,74.8,75.738,73.80786,73.964,5830250
1634650200,74.22481,75.06995,70.101,72.725,7485910
1634736600,73.5,77.707,73.157,75.818,7379360
1634823000,75.287,75.95259,72.957,73.543,4652960
1634909400,73.143,73.85,70.7,71.852,3685640
1635168600,73.645,75.5485,73.3,74.602,3807340
1635255000,74.032,75.4714,73.246,73.486,3231860
1635341400,72.0,72.882,70.958,71.502,3647300
1635427800,72.894,74.80202,70.8,71.713,6713850
1635514200,72.41,73.718,69.141,71.506,6983120
1635773400,72.1,74.5265,71.119,73.612,4407710
1635859800,75.696,84.1,74.1,79.414,14874270
1635946200,78.159,81.7634,77.817,81.025,6658760
1636032600,81.0,82.87422,79.0,80.0,3768490
1636119000,80.387,81.205,77.91,79.751,6187970
1636381800,84.199,87.3185,84.028,86.0,7177970
1636468200,88.45,89.13799,83.501,85.901,5312120
1636554600,88.0,88.0,80.368,81.634,5571660
1636641000,81.233,83.704,80.7,81.836,2881250
1636727400,81.102,81.25799,78.58567,81.173,4632420
1636986600,81.996,81.996,78.13401,79.5,3914780
1637073000,76.85,77.99978,74.84132,75.202,4937230
1637159400,76.36,76.5,73.7,75.3,3575580
1637245800,75.051,75.051,71.697,72.736,5013420
1637332200,73.512,73.9,71.8,71.831,4345930
1637591400,72.471,72.581,68.839,69.002,4001950
1637677800,69.427,70.899,68.073,69.677,3462660
1637764200,68.8,70.399,68.1,70.09,5555000
1637937000,68.129,68.129,65.5,66.3,3722110
1638196200,69.0,70.452,67.132,69.548,5869580
1638282600,69.825,72.66,69.0,72.143,6640030
1638369000,73.264,74.399,70.0,70.547,7659450
1638455400,69.152,71.185,66.706,68.336,4995330
1638541800,67.593,68.38937,61.624,63.099,8091270
1638801000,59.492,60.401,56.573,59.647,6395880
1638887400,62.1,64.71899,62.1,62.817,3965360
1638973800,62.367,64.15,61.20001,63.654,2270420
1639060200,62.15,62.5275,58.744,59.188,3760840
1639146600,61.361,61.953,58.135,60.084,3513700
1639405800,59.495,59.499,56.55601,57.164,3757930
1639492200,56.5,58.45,55.654,58.038,3645850
1639578600,57.761,60.3,54.8,59.859,5288870
1639665000,59.572,60.20785,55.966,56.694,4017540
1639751400,55.355,58.084,52.881,57.158,7467670
1640010600,55.282,56.3645,54.3,54.639,3438310
1640097000,56.77,57.476,55.678,56.75,2826570
1640183400,56.836,57.85199,56.2,56.999,2713520
1640269800,56.83,59.99999,56.301,59.721,5451070
1640615400,60.0,62.15166,59.84,60.828,3128900
1640701800,59.0,59.02343,56.26201,56.797,3459740
1640788200,56.696,56.9855,55.124,55.609,2771070
1640874600,55.588,57.545,55.588,56.234,3164190
1640961000,56.69,57.5,54.3325,54.449,3363340
1641220200,55.061,56.133,54.3,55.826,3468500
1641306600,56.015,57.626,53.502,55.107,3947270
1641393000,54.176,55.251,50.749,50.91,5470290
1641479400,50.0,50.85,47.7815,49.862,4845090
1641565800,49.09,50.0,47.121,48.295,4258300
1641825000,46.369,48.226,44.825,48.195,5599250
1641911400,48.23,51.308,47.417,50.656,4741700
1641997800,52.4,52.99799,51.072,51.464,3622560
1642084200,52.185,52.76899,48.7512,48.959,3250880
1642170600,48.417,50.26199,48.18351,49.956,2645240
1642516200,48.48,48.956,46.6615,46.828,4091830
1642602600,48.279,49.199,45.8463,46.042,4224250
1642689000,46.709,49.087,45.55,45.753,4392580
